Your gender,What is your religion?,What is your current level of education?,What is your age range?,What is your current self-assessed disability status?,What is your current geopolitical zone of origin in Nigeria?,What is your current marital status?,What is your current total family income range per month?,What is your primary academic discipline?,What is your current level of social interaction within your local community?,I instill pride in others for being associated with me,I go beyond self-interest for the good of the group,I act in ways that build others’ respect for me,I display a sense of power and confidence,I talk about my most important values and beliefs,I specify the importance of having a strong sense of purpose,I consider the moral and ethical consequences of decisions,I emphasize the importance of having a collective sense of mission,I talk optimistically about the future,I talk enthusiastically about what needs to be accomplished,I articulate a compelling vision of the future,I express confidence that goals will be achieved,I re-examine critical assumptions to question whether they are appropriate,I seek differing perspectives when solving problems,I get others to look at problems from many different angles,I suggest new ways of looking at how to complete assignments,I spend time teaching and coaching,I treat others as individuals rather than just as a member of a group,"I consider an individual as having different needs, abilities, and aspirations from others",I help others to develop their strengths,I feel I am being paid a fair amount for the work I do,There is really too little chance for promotion on my job,My supervisor is quite competent in doing his/her job,I am not satisfied with the benefits I receive,"When I do a good job, I receive the recognition for it that I should receive",Many of our rules and procedures make doing a good job difficult,I like the people I work with,I sometimes feel my job is meaningless,Communications seem good within this organization,Raises are too few and far between,Those who do well on the job stand a fair chance of being promoted,My supervisor is unfair to me,The benefits we receive are as good as most other organizations offer,I do not feel that the work I do is appreciated,My efforts to do a good job are seldom blocked by red tape,I find I have to work harder at my job because of the incompetence of people I work with,I like doing the things I do at work,The goals of this organization are not clear to me,I often seriously consider leaving my current job,I intend to quit my current job,I have started to look for other jobs,How often have you seriously considered leaving your current job?,How often have you done each of the following things on your present job?,"Took time to advise, coach, or mentor a co-worker",Helped co-worker learn new skills or shared job knowledge,Helped new employees get oriented to the job,Lent a compassionate ear when someone had a work problem,Lent a compassionate ear when someone had a personal problem,"Changed vacation schedule, work days, or shifts to accommodate co-worker’s needs",Offered suggestions to improve how work is done,Offered suggestions for improving the work environment,Finished something for co-worker who had to leave early,Helped a less capable co-worker lift a heavy box or other object,Helped a co-worker who had too much to do,Volunteered for extra work assignments,Took phone messages for absent or busy co-worker,Said good things about your employer in front of others,Gave up meal and other breaks to complete work,"Volunteered to help a co-worker deal with a difficult customer, vendor, or co-worker",Went out of the way to give co-worker encouragement or express appreciation,"Decorated, straightened up, or otherwise beautified common work space","Defended a co-worker who was being ""put-down"" or spoken ill of by other co-workers or supervisor",I think about migrating to another country temporarily,I think about migrating to another country permanently,I seek information about opportunities available for me outside this country,I apply for opportunities outside this country,I express my desire to others about wanting to pursue opportunities outside this country,I am approached about potential opportunities outside this country,"If you migrated to another country, how likely do you believe you would have better career development and fulfillment prospects?","If you migrated to another country, how likely do you believe that you would have better income and financial wellness prospects?","If you migrated to another country, how likely do you believe you would have better family life prospects?","If you migrated to another country, how likely do you believe you would have better social life prospects?",How likely do you believe your current university education and/or any upcoming degree will enable you to migrate to another country successfully?,How much thought have you given to abandoning your job here to migrate outside the country?,"Given your experience working in this university compared with what your experience could be elsewhere, how likely is it that you would migrate outside the country in the next 1-3 years?","Given the inspiration received so far from your current level of interaction with other academic staff at this university, how likely is it that you would migrate outside the country in the next 1-3 years?","Given the consequences and outcomes so far from your current level of interaction with your supervisors and leaders at this University, how likely is it that you would migrate outside the country in the next 1-3 years?","Given the volume and complexity of working in your discipline at this University compared with what your experience could potentially be elsewhere, how likely is it that you would migrate outside the country in the next 1-3 years?","When you consider the knowledge and awareness you have acquired from social media, how likely is it that you would migrate outside the country in the next 1-3 years?","When you consider the influence and expectations of family and significant others, how likely is it that you would migrate outside the country in the next 1-3 years?",Did you intentionally select your current academic discipline to prepare you for potential migration to another country?,Would you invest time and resources in additional education at this University beyond your current degree to improve your prospects for successfully migrating to another country?,Would you invest time and resources in additional education at another in-country University beyond your current degree to improve your prospects for successfully migrating to another country?,Have you traveled outside this country before?,"When you consider your prior international travel, how likely is it that you would migrate outside this country in the next 1-3 years?",How likely will your knowledge of the experience of those who successfully migrated outside this country influence a decision by you to migrate in the next 1-3 years?,How likely will your knowledge of the experience of those who successfully migrated outside their own countries influence a decision by you to migrate in the next 1-3 years?,"Obtaining relevant information about migrant arrival, onboarding and welfare at the destination country",Securing academic opportunities at destination country,Securing job opportunities at destination country,Obtaining an international passport,Obtaining a destination travel visa,Obtaining a destination work permit,"Securing savings and funding for travel to, and stay at intended destination","Informing significant others (e.g. spouse, parents, clergy, close friends) based outside the country about migration intentions","Informing significant others (e.g. spouse, parents, clergy, close friends) based in-country about migration intentions"
Male,Christianity,Doctorate,51 - 55 years,No disability,South-East,Married,"N251,000 – N500,000","Arts, Social Sciences, Languages and Humanities",Low,Sometimes,Fairly often,Fairly often,Fairly often,"Frequently, if not always",Sometimes,"Frequently, if not always",Fairly often,"Frequently, if not always",Fairly often,Fairly often,"Frequently, if not always",Sometimes,Fairly often,"Frequently, if not always",Sometimes,Fairly often,"Frequently, if not always",Fairly often,"Frequently, if not always",Agree moderately,Agree slightly,Agree very much,Agree very much,Agree moderately,Agree moderately,Agree moderately,Agree slightly,Agree slightly,Agree moderately,Agree moderately,Agree moderately,Agree moderately,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Agree moderately,Moderately agree,Moderately agree,Moderately agree,Sometimes,Once or twice per month,Once or twice per week,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice per week,Once or twice per week,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per month,Fairly often,Fairly often,"Frequently, if not always","Frequently, if not always","Frequently, if not always","Frequently, if not always",Somewhat likely,Very likely,Neutral,Somewhat likely,Very likely,A lot of thought,Somewhat likely,Very likely,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,Very unlikely,No,Yes,Yes,No,Very likely,Very likely,Very unlikely,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Male,Christianity,Master's,31 - 35 years,No disability,South-East,Single,"N501,000 – N1,000,000","STEM (science, technology, engineering and mathematics)",Medium,Once in a while,Sometimes,Once in a while,Sometimes,Sometimes,Fairly often,Sometimes,Sometimes,Once in a while,Fairly often,Sometimes,Sometimes,Sometimes,Sometimes,Once in a while,Sometimes,Once in a while,Once in a while,Sometimes,Once in a while,Disagree slightly,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Disagree slightly,Disagree slightly,Disagree slightly,Agree slightly,Agree moderately,Agree slightly,Agree moderately,Agree slightly,Agree moderately,Agree slightly,Agree moderately,Agree slightly,Agree slightly,Slightly agree,Slightly agree,Slightly agree,Sometimes,Once or twice,Once or twice,Once or twice per month,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once or twice,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once or twice per week,Once or twice per month,Once or twice per month,Sometimes,Sometimes,Sometimes,Fairly often,Sometimes,Fairly often,Very likely,Somewhat likely,Somewhat likely,Very likely,Somewhat likely,A lot of thought,Very likely,Very likely,Very likely,Very likely,Somewhat likely,Somewhat likely,No,Yes,Yes,Yes,Somewhat likely,Somewhat likely,Somewhat likely,Yes,No,No,No,No,No,No,No,No
Male,Christianity,Doctorate,46 - 50 years,Prefer not to tell,South-East,Divorced,"N100,000 – N250,000","Medical, Pharmacy, and Biological Sciences",High,Not at all,Sometimes,"Frequently, if not always","Frequently, if not always",Once in a while,Not at all,Not at all,Once in a while,Once in a while,Once in a while,Sometimes,Sometimes,Once in a while,Once in a while,Once in a while,"Frequently, if not always",Not at all,Sometimes,Fairly often,Fairly often,Disagree slightly,Disagree very much,Agree moderately,Disagree slightly,Disagree slightly,Disagree moderately,Agree slightly,Disagree slightly,Agree very much,Disagree slightly,Disagree moderately,Disagree moderately,Disagree moderately,Disagree very much,Disagree moderately,Disagree slightly,Agree moderately,Agree slightly,Moderately disagree,Slightly disagree,Moderately disagree,Rarely,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Never,Once or twice per month,Once or twice,Once or twice per week,Once or twice,Never,Once or twice,Never,Once or twice,Once or twice,Once or twice per month,Once or twice per month,Once in a while,Fairly often,"Frequently, if not always",Once in a while,Once in a while,Fairly often,Very likely,Very likely,Somewhat unlikely,Somewhat likely,Very likely,Some thought,Very likely,Neutral,Very unlikely,Very likely,Somewhat unlikely,Somewhat likely,No,No,Yes,Yes,Very likely,Neutral,Very likely,No,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Female,Christianity,Doctorate,46 - 50 years,No disability,South-West,Widowed,"N100,000 – N250,000","Medical, Pharmacy, and Biological Sciences",Very low,Not at all,Sometimes,"Frequently, if not always",Sometimes,Fairly often,Once in a while,Once in a while,Fairly often,Not at all,Fairly often,Once in a while,Not at all,Not at all,Fairly often,Not at all,Sometimes,Once in a while,Sometimes,Not at all,Not at all,Disagree very much,Disagree moderately,Disagree slightly,Disagree moderately,Disagree very much,Disagree moderately,Disagree very much,Agree slightly,Disagree very much,Disagree very much,Disagree slightly,Disagree moderately,Disagree very much,Disagree moderately,Disagree moderately,Disagree moderately,Disagree very much,Agree slightly,Slightly disagree,Slightly agree,Moderately disagree,Somewhat often,Once or twice per month,Once or twice per month,Once or twice,Every day,Once or twice,Once or twice,Every day,Once or twice per month,Never,Once or twice per month,Once or twice,Once or twice per month,Once or twice per week,Every day,Once or twice,Once or twice,Once or twice per month,Once or twice,Once or twice,Once or twice,Sometimes,Not at all,Once in a while,Sometimes,Once in a while,Fairly often,Very unlikely,Very likely,Very likely,Not applicable,Somewhat unlikely,Some thought,Very unlikely,Neutral,Somewhat likely,Very unlikely,Somewhat unlikely,Somewhat likely,No,Yes,No,No,Very likely,Neutral,Very likely,Yes,No,Yes,No,Yes,Yes,No,Yes,Yes
Male,Christianity,Doctorate,46 - 50 years,Prefer not to tell,South-East,Married,"N501,000 – N1,000,000","Medical, Pharmacy, and Biological Sciences",High,Not at all,Sometimes,Sometimes,Sometimes,Fairly often,Sometimes,Not at all,"Frequently, if not always",Not at all,Sometimes,Once in a while,Fairly often,"Frequently, if not always",Sometimes,Sometimes,Sometimes,Once in a while,Sometimes,Once in a while,Sometimes,Agree moderately,Disagree slightly,Agree slightly,Disagree slightly,Disagree slightly,Agree very much,Disagree slightly,Disagree slightly,Disagree slightly,Agree slightly,Disagree very much,Agree slightly,Agree moderately,Agree very much,Disagree moderately,Disagree very much,Disagree slightly,Disagree very much,Strongly disagree,Moderately disagree,Moderately agree,Rarely,Once or twice,Once or twice,Once or twice per month,Once or twice per month,Once or twice per month,Never,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once or twice per week,Once or twice,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice per week,Once or twice,Never,Fairly often,Not at all,Fairly often,Not at all,"Frequently, if not always",Sometimes,Very likely,Somewhat likely,Neutral,Very unlikely,Very likely,A lot of thought,Somewhat likely,Somewhat likely,Neutral,Neutral,Very likely,Somewhat likely,Yes,No,No,Yes,Neutral,Somewhat likely,Somewhat unlikely,Yes,No,No,No,Yes,Yes,No,No,Yes
Female,Christianity,Bachelor’s,31 - 35 years,No disability,South-East,Single,"N501,000 – N1,000,000","Medical, Pharmacy, and Biological Sciences",Medium,Fairly often,Sometimes,Sometimes,Fairly often,Sometimes,Fairly often,Sometimes,Sometimes,Sometimes,Fairly often,Sometimes,Sometimes,Sometimes,"Frequently, if not always",Sometimes,Sometimes,Sometimes,Sometimes,Fairly often,Sometimes,Disagree slightly,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Moderately agree,Moderately agree,Slightly disagree,Somewhat often,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once in a while,Sometimes,Once in a while,Sometimes,Sometimes,Sometimes,Somewhat likely,Very likely,Very likely,Somewhat likely,Very likely,A lot of thought,Very likely,Somewhat likely,Very likely,Somewhat likely,Very likely,Very likely,Yes,Yes,Yes,Yes,Somewhat likely,Very likely,Very likely,Yes,No,No,No,No,No,No,No,No
Female,Christianity,Master's,41 - 45 years,No disability,South-East,Single,"N501,000 – N1,000,000","Arts, Social Sciences, Languages and Humanities",Medium,Fairly often,Sometimes,Fairly often,Sometimes,Once in a while,Fairly often,Once in a while,Sometimes,Sometimes,Fairly often,Once in a while,Sometimes,Once in a while,Sometimes,Once in a while,Sometimes,Once in a while,Sometimes,Once in a while,Sometimes,Disagree slightly,Disagree slightly,Agree slightly,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Slightly agree,Slightly agree,Moderately agree,Somewhat often,Once or twice per month,Once or twice,Once or twice per month,Once or twice per month,Once or twice per week,Once or twice,Once or twice per month,Once or twice,Once or twice per week,Once or twice,Once or twice,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Sometimes,Once in a while,Sometimes,Sometimes,Sometimes,Once in a while,Very likely,Somewhat likely,Somewhat likely,Very likely,Very likely,A lot of thought,Somewhat likely,Very likely,Very likely,Somewhat likely,Very likely,Very likely,Yes,Yes,Yes,Yes,Very likely,Very likely,Very likely,Yes,No,No,No,No,No,No,No,No
Female,Christianity,Doctorate,41 - 45 years,Prefer not to tell,South-West,Prefer not to tell,"N501,000 – N1,000,000","STEM (science, technology, engineering and mathematics)",Medium,Once in a while,Not at all,Not at all,Fairly often,Sometimes,"Frequently, if not always",Once in a while,"Frequently, if not always",Not at all,Sometimes,Once in a while,Sometimes,Not at all,Fairly often,Once in a while,Fairly often,Not at all,Sometimes,Sometimes,Fairly often,Agree slightly,Agree slightly,Disagree slightly,Agree moderately,Agree slightly,Disagree slightly,Agree moderately,Disagree very much,Agree moderately,Agree moderately,Disagree moderately,Disagree very much,Disagree moderately,Disagree slightly,Disagree moderately,Agree moderately,Agree slightly,Agree very much,Moderately agree,Moderately disagree,Moderately agree,Somewhat often,Once or twice per week,Once or twice,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice,Once or twice,Every day,Once or twice per month,Once or twice per month,Never,Once or twice,Once or twice per week,Once or twice,Once or twice per week,Once or twice per month,Every day,Once or twice per week,Never,Once or twice per week,Once in a while,Not at all,Sometimes,Sometimes,Sometimes,Fairly often,Very likely,Very likely,Very unlikely,Very likely,Very likely,Some thought,Very likely,Very unlikely,Very likely,Very likely,Somewhat unlikely,Neutral,No,Yes,Yes,Yes,Somewhat unlikely,Neutral,Somewhat likely,Yes,No,Yes,Yes,No,Yes,No,Yes,No
Female,Christianity,Post-Doctorate,51 - 55 years,Some disability,North-East,Married,"N501,000 – N1,000,000","Arts, Social Sciences, Languages and Humanities",Very low,Sometimes,Once in a while,Sometimes,Sometimes,Once in a while,Sometimes,Once in a while,Sometimes,Once in a while,Sometimes,Sometimes,Fairly often,Not at all,Not at all,Sometimes,"Frequently, if not always",Not at all,Sometimes,Sometimes,Sometimes,Agree slightly,Disagree slightly,Agree moderately,Disagree very much,Agree moderately,Disagree very much,Disagree slightly,Agree slightly,Disagree slightly,Agree slightly,Disagree moderately,Disagree slightly,Disagree very much,Disagree slightly,Disagree slightly,Agree slightly,Disagree slightly,Agree very much,Slightly agree,Slightly agree,Slightly agree,Never,Once or twice per week,Once or twice per week,Never,Once or twice per week,Once or twice per month,Never,Once or twice per week,Once or twice,Once or twice per week,Once or twice,Never,Once or twice,Once or twice per week,Once or twice per month,Once or twice,Never,Once or twice per week,Once or twice per month,Every day,Once or twice,Once in a while,Once in a while,Sometimes,Sometimes,Once in a while,Sometimes,Not applicable,Very likely,Somewhat unlikely,Somewhat unlikely,Very likely,Little thought,Very unlikely,Somewhat unlikely,Very likely,Somewhat unlikely,Somewhat likely,Somewhat unlikely,Yes,No,No,Yes,Somewhat unlikely,Very likely,Somewhat unlikely,Yes,No,Yes,Yes,Yes,No,No,Yes,No
Male,Christianity,Doctorate,46 - 50 years,Prefer not to tell,South-East,Married,"< N100,000","Medical, Pharmacy, and Biological Sciences",Medium,Sometimes,Sometimes,Fairly often,Sometimes,Once in a while,Fairly often,Once in a while,"Frequently, if not always",Sometimes,Sometimes,Once in a while,Once in a while,Once in a while,Once in a while,Sometimes,Once in a while,Once in a while,Fairly often,Sometimes,"Frequently, if not always",Disagree slightly,Disagree moderately,Disagree very much,Disagree moderately,Disagree moderately,Disagree moderately,Agree moderately,Disagree slightly,Disagree very much,Disagree moderately,Disagree very much,Disagree very much,Agree slightly,Agree very much,Disagree very much,Disagree very much,Agree slightly,Disagree slightly,Slightly disagree,Slightly agree,Slightly agree,Never,Once or twice per month,Every day,Once or twice per week,Once or twice per month,Never,Never,Never,Once or twice per month,Once or twice per month,Once or twice per month,Never,Every day,Once or twice,Once or twice per month,Once or twice,Once or twice,Never,Never,Never,Never,Sometimes,Fairly often,Fairly often,Sometimes,Not at all,Not at all,Somewhat likely,Very unlikely,Somewhat likely,Somewhat likely,Somewhat likely,A lot of thought,Somewhat unlikely,Neutral,Somewhat unlikely,Neutral,Very likely,Very likely,No,No,Yes,Yes,Very likely,Very likely,Somewhat likely,Yes,Yes,Yes,No,Yes,Yes,No,No,No
Male,Christianity,Bachelor’s,31 - 35 years,No disability,South-East,Single,"N501,000 – N1,000,000","Arts, Social Sciences, Languages and Humanities",Medium,Fairly often,Sometimes,Once in a while,Once in a while,Fairly often,Sometimes,Sometimes,Sometimes,Sometimes,Fairly often,Sometimes,Sometimes,Once in a while,Sometimes,Sometimes,Sometimes,Once in a while,Once in a while,Sometimes,Once in a while,Agree slightly,Disagree slightly,Agree slightly,Disagree slightly,Agree slightly,Disagree slightly,Disagree slightly,Disagree slightly,Disagree moderately,Disagree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Disagree slightly,Slightly disagree,Moderately agree,Slightly agree,Sometimes,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice,Once or twice per month,Once or twice per month,Once or twice,Once or twice per week,Once or twice,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice per week,Once or twice per month,Once in a while,Sometimes,Once in a while,Sometimes,Sometimes,Sometimes,Very likely,Somewhat likely,Very likely,Somewhat likely,Very likely,A lot of thought,Very likely,Very likely,Very likely,Very likely,Somewhat likely,Very likely,Yes,No,No,No,Somewhat unlikely,Somewhat unlikely,Somewhat unlikely,No,No,No,No,No,No,No,No,No
Male,Christianity,Bachelor’s,31 - 35 years,No disability,South-East,Single,"N501,000 – N1,000,000","Arts, Social Sciences, Languages and Humanities",Medium,Fairly often,Sometimes,"Frequently, if not always",Sometimes,Once in a while,Fairly often,Sometimes,Sometimes,Sometimes,Fairly often,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Sometimes,Fairly often,Fairly often,Agree slightly,Agree moderately,Agree slightly,Agree moderately,Agree slightly,Agree slightly,Agree slightly,Agree very much,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Slightly agree,Slightly agree,Moderately agree,Sometimes,Once or twice per week,Once or twice,Once or twice per month,Once or twice,Once or twice,Once or twice,Once or twice,Once or twice per week,Once or twice,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once in a while,Sometimes,Once in a while,Once in a while,Once in a while,Once in a while,Very likely,Very likely,Very likely,Very likely,Very likely,A lot of thought,Very likely,Somewhat likely,Very likely,Somewhat likely,Somewhat likely,Very likely,No,Yes,Yes,Yes,Somewhat likely,Very likely,Somewhat likely,Yes,No,No,No,No,No,No,No,No
Female,Christianity,Master's,36 - 40 years,No disability,South-South,Single,"N501,000 – N1,000,000","Arts, Social Sciences, Languages and Humanities",Medium,Sometimes,Fairly often,Sometimes,Sometimes,Fairly often,Fairly often,Sometimes,Fairly often,Sometimes,Fairly often,Sometimes,"Frequently, if not always",Sometimes,Sometimes,Fairly often,Fairly often,Sometimes,Fairly often,Sometimes,Sometimes,Disagree slightly,Disagree slightly,Agree moderately,Disagree slightly,Agree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree slightly,Agree moderately,Agree slightly,Agree slightly,Agree slightly,Slightly agree,Moderately agree,Slightly agree,Sometimes,Once or twice per month,Once or twice per month,Every day,Once or twice per week,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per week,Once or twice per week,Once or twice per month,Once or twice,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Fairly often,Once in a while,Once in a while,Sometimes,Sometimes,Once in a while,Very likely,Somewhat likely,Very likely,Somewhat likely,Somewhat likely,A lot of thought,Somewhat likely,Very likely,Very likely,Very likely,Somewhat likely,Very likely,No,Yes,Yes,Yes,Somewhat likely,Very likely,Somewhat likely,Yes,No,No,No,No,No,No,No,No
Prefer not to tell,Christianity,Master's,31 - 35 years,Prefer not to tell,North-Central,Married,"N100,000 – N250,000","Medical, Pharmacy, and Biological Sciences",Medium,"Frequently, if not always",Fairly often,Sometimes,Fairly often,"Frequently, if not always",Fairly often,Sometimes,Fairly often,Fairly often,Fairly often,Sometimes,Fairly often,"Frequently, if not always",Sometimes,Fairly often,Sometimes,Once in a while,Sometimes,Once in a while,Sometimes,Agree moderately,Disagree slightly,Agree slightly,Disagree slightly,Agree slightly,Agree very much,Agree slightly,Agree slightly,Disagree slightly,Disagree slightly,Agree very much,Disagree slightly,Agree slightly,Disagree slightly,Agree moderately,Agree moderately,Disagree slightly,Disagree slightly,Slightly disagree,Slightly disagree,Moderately disagree,Somewhat often,Never,Once or twice,Never,Once or twice,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Every day,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Once or twice,Once or twice per month,Fairly often,Sometimes,Sometimes,"Frequently, if not always",Fairly often,Fairly often,Very unlikely,Neutral,Not applicable,Very unlikely,Somewhat unlikely,A lot of thought,Very unlikely,Somewhat unlikely,Somewhat unlikely,Very unlikely,Neutral,Somewhat likely,No,Yes,No,No,Somewhat likely,Neutral,Somewhat unlikely,Yes,No,Yes,Yes,Yes,Yes,No,Yes,No
Male,Christianity,Post-Doctorate,61 - 65 years,Prefer not to tell,North-West,Prefer not to tell,"N100,000 – N250,000","Arts, Social Sciences, Languages and Humanities",Very low,Once in a while,Once in a while,Sometimes,Once in a while,Once in a while,Sometimes,Once in a while,Sometimes,Once in a while,Once in a while,Sometimes,Once in a while,Once in a while,Once in a while,Sometimes,Once in a while,Once in a while,Sometimes,Sometimes,Once in a while,Disagree moderately,Disagree moderately,Disagree moderately,Disagree moderately,Disagree slightly,Disagree moderately,Disagree moderately,Disagree very much,Disagree moderately,Disagree slightly,Disagree moderately,Disagree moderately,Disagree slightly,Disagree moderately,Disagree very much,Disagree moderately,Disagree very much,Disagree moderately,Strongly disagree,Moderately disagree,Moderately disagree,Rarely,Once or twice,Once or twice per month,Once or twice per month,Once or twice,Once or twice,Once or twice,Never,Once or twice,Once or twice per month,Once or twice,Never,Never,Never,Once or twice per month,Once or twice,Never,Once or twice,Once or twice,Never,Once or twice,Not at all,Once in a while,Once in a while,Not at all,Once in a while,Not at all,Somewhat likely,Neutral,Somewhat likely,Very likely,Somewhat unlikely,A lot of thought,Somewhat likely,Somewhat unlikely,Very likely,Somewhat likely,Neutral,Somewhat likely,Yes,No,No,Yes,Somewhat likely,Somewhat likely,Somewhat unlikely,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
Female,Islam,Doctorate,46 - 50 years,Prefer not to tell,North-East,Married,"N251,000 – N500,000","Medical, Pharmacy, and Biological Sciences",Medium,Sometimes,Not at all,Fairly often,Once in a while,Sometimes,Once in a while,Fairly often,Once in a while,Sometimes,Sometimes,Once in a while,Sometimes,Once in a while,Not at all,Fairly often,Once in a while,Once in a while,Once in a while,Once in a while,Sometimes,Disagree very much,Disagree moderately,Disagree slightly,Agree slightly,Disagree very much,Disagree moderately,Agree very much,Disagree moderately,Disagree moderately,Agree slightly,Disagree moderately,Disagree slightly,Disagree moderately,Agree slightly,Disagree very much,Agree slightly,Disagree very much,Disagree moderately,Slightly disagree,Moderately disagree,Slightly agree,Never,Once or twice per week,Once or twice per month,Once or twice,Every day,Once or twice,Never,Once or twice,Never,Once or twice per week,Never,Never,Every day,Once or twice per month,Every day,Once or twice,Never,Never,Once or twice,Once or twice per week,Once or twice,Fairly often,Not at all,Fairly often,Once in a while,Not at all,Not at all,Very likely,Somewhat likely,Not applicable,Somewhat likely,Neutral,Neutral,Neutral,Somewhat likely,Neutral,Very likely,Somewhat likely,Very likely,Yes,Yes,No,Yes,Very unlikely,Neutral,Somewhat unlikely,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No
Prefer not to tell,Christianity,Doctorate,56 - 60 years,No disability,North-East,Married,"N251,000 – N500,000","Arts, Social Sciences, Languages and Humanities",High,Not at all,Fairly often,Fairly often,Once in a while,Once in a while,Once in a while,Sometimes,Fairly often,Once in a while,Sometimes,Fairly often,Fairly often,Sometimes,Fairly often,Not at all,Once in a while,Fairly often,Once in a while,Once in a while,Sometimes,Disagree moderately,Disagree slightly,Disagree very much,Disagree slightly,Agree moderately,Disagree moderately,Disagree slightly,Disagree slightly,Agree slightly,Disagree moderately,Disagree moderately,Disagree moderately,Disagree slightly,Disagree moderately,Agree slightly,Disagree moderately,Agree moderately,Disagree slightly,Slightly agree,Strongly disagree,Strongly disagree,Never,Once or twice per month,Once or twice per month,Once or twice,Never,Every day,Once or twice per month,Once or twice per week,Once or twice per month,Once or twice per month,Once or twice,Once or twice,Never,Once or twice per month,Once or twice,Once or twice per month,Never,Once or twice,Once or twice per month,Once or twice per month,Every day,Sometimes,Not at all,Not at all,Not at all,Once in a while,Once in a while,Somewhat unlikely,Somewhat likely,Neutral,Very unlikely,Neutral,Not applicable,Very unlikely,Neutral,Somewhat likely,Very unlikely,Neutral,Somewhat likely,No,No,No,Yes,Somewhat likely,Somewhat unlikely,Somewhat unlikely,Yes,No,Yes,Yes,No,Yes,No,Yes,Yes
